additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent
0.0,24626.0,130990710.0,131015710.0,71166.0,83501.0,,,ARYE,,,,,,
0.0,5000169.0,0.0,110125.0,0.0,85752.0,0.0,85752.0,ASAX,,,0.0,150724373.0,,
0.0,5000169.0,0.0,110125.0,0.0,85752.0,0.0,85752.0,ASAXW,,,0.0,150724373.0,,
0.0,335764826.0,,,,,,,ASC,0.0,43306191.0,0.0,737771764.0,,
,,0.0,140115.0,0.0,117875.0,0.0,117875.0,ASCBU,,,,,0.0,38183.0
,,0.0,140115.0,0.0,117875.0,0.0,117875.0,ASCBW,,,,,0.0,38183.0
,,120473.0,143291.0,,,-9356.0,13229.0,ASND,119789.0,135472.0,0.0,130062.0,,
0.0,24856.0,0.0,100000.0,,,0.0,75495.0,ASPAU,,,0.0,50712505.0,,
7988315.0,16368658.0,6609414.0,13752052.0,1512365.0,1815716.0,1473540.0,2618514.0,ASPI,3738890.0,6692611.0,0.0,11133538.0,335668.0,3556951.0
174900.0,424876.0,126358.0,185089.0,138449.0,154043.0,138449.0,154043.0,ASST,0.0,33731.0,,,126358.0,185089.0
0.0,198514175.0,,,,,,,ASTI,,,0.0,172310943.0,,
0.0,19086.0,0.0,73630.0,0.0,53630.0,0.0,53630.0,ASZ,,,,,,
,,0.0,102220000.0,,,0.0,68180.0,ATA,,,,,,
0.0,24425.0,0.0,203505410.0,0.0,357738.0,0.0,15568373.0,ATAK,0.0,65373.0,,,0.0,65373.0
4617.0,7230.0,6367.0,42102.0,4409.0,49363.0,4308.0,72589.0,ATAKR,0.0,5667.0,0.0,42102.0,2718.0,29774.0
4617.0,7230.0,6367.0,42102.0,4409.0,49363.0,4308.0,72589.0,ATAKU,0.0,5667.0,0.0,42102.0,2718.0,29774.0
4617.0,7230.0,6367.0,42102.0,4409.0,49363.0,4308.0,72589.0,ATAKW,0.0,5667.0,0.0,42102.0,2718.0,29774.0
,,2310.7,3477.2,-1.3000000000000114,391.9,2575.7000000000003,3093.3,ATC,0.0,184.6,0.0,2537.9,26.799999999999955,747.0
8895171.0,64509414.0,1108910.0,6667284.0,-610334.0,2326890.0,-514295.0,2448140.0,ATLX,0.0,5043673.0,,,-156419.0,305145.0
0.0,354209.0,0.0,156320.0,31410.0,38488.0,94803.0,104120.0,ATNX,0.0,9285.0,0.0,109045.0,57383.0,65194.0
3214862.0,9415382.0,871018.0,3942912.0,0.0,1512173.0,0.0,1398396.0,ATOS,0.0,1910821.0,,,0.0,2945429.0
132245.0,132627.0,102050.0,106340.0,222.0,1524.0,978.0,2284.0,ATRA,76805.0,81012.0,0.0,104374.0,52843.0,57085.0
,,25676055.0,36179281.0,1517169.0,3704933.0,22664502.0,34376260.0,ATUS,-516487.0,486792.0,0.0,26410639.0,-170667.0,1704919.0
21427.0,97052.0,5184.0,8429.0,1534.0,6085.0,1534.0,6085.0,ATXI,4.0,11.0,0.0,11011.0,5184.0,8429.0
-3049382.0,124720.0,-15716067.0,22950.0,-12853492.0,10679.0,-26970386.0,27642.0,AUGX,-9586913.0,16353.0,0.0,31255.0,-14330987.0,21710.0
,,,,,,0.0,7700000.0,AURCU,,,,,,
,,0.0,181669.0,0.0,186669.0,0.0,186669.0,AUS,,,,,,
,,,,,,39106.0,77048.0,AUST,0.0,2421796.0,,,-1021734.0,1403819.0
0.0,63393499.0,0.0,1883815.0,0.0,14431962.0,0.0,7450151.0,AUUD,0.0,10882582.0,,,0.0,359099.0
0.0,63393499.0,0.0,1883815.0,0.0,14431962.0,0.0,7450151.0,AUUDW,0.0,10882582.0,,,0.0,359099.0
0.0,609402.0,-308896.0,4460491.0,-497453.0,2270507.0,-599169.0,2785428.0,AUVIP,425687.0,1455623.0,,,-416500.0,3080152.0
477528.0,1146934.0,369072.0,1947506.0,91870.0,260413.0,269357.0,1576847.0,AVAH,128628.0,137345.0,0.0,1527660.0,154299.0,340644.0
2112850.0,5784513.0,30054791.0,161807529.0,,,30719625.0,149299479.0,AVAL,463661.0,2641085.0,,,,
-149316783.0,11799178.0,495863033.0,1222373287.0,532801874.0,745859530.0,534724337.0,939716384.0,AVDX,-49520510.0,202937549.0,0.0,864560.0,498321747.0,930637247.0
0.0,24713.0,38290.0,73273.0,38422.0,49422.0,38422.0,49422.0,AVHI,-25938.0,4045.0,0.0,102873851.0,,
66474.0,206184.0,75974.0,697747.0,14908.0,94421.0,8718.0,319134.0,AVO,10204.0,36518.0,0.0,612366.0,-16254.0,189785.0
177862.0,178109.0,142770.0,148170.0,4170.0,5061.0,5248.0,6227.0,AVRO,141081.0,146438.0,0.0,143449.0,53105.0,58481.0
189743.0,189806.0,170370.0,175085.0,8.0,1782.0,0.0,1782.0,AVTE,169512.0,174085.0,0.0,173610.0,4928.0,9604.0
23636.0,252196.0,751.0,4609.0,-2018.0,4530.0,-1000.0,31926.0,AWH,976.0,3440.0,,,1073.0,3894.0
,,392043.0,12934072.0,0.0,1363662.0,,,AWK,0.0,78856.0,0.0,9245747.0,0.0,430354.0
